SYMBOL,29 jan 2020,30 jan 2020,31 jan 2020
GOLDTECH,1.0500002,6.699997,3.2000008,
GOODLUCK,1.9000015,55.850098,11.649994,
GPIL,11.0,0.75,2.899994,
GPPL,2.5999985,2.449997,2.6500015,
GPTINFRA,1.6500015,7.0,2.5,
GRANULES,3.850006,3.9000015,8.0,
GRAPHITE,6.0,4.3499985,22.400024,
GRASIM,22.849976,7.75,4.5999985,
GRAVITA,4.700001,6.9499817,3.9000092,
GREAVESCOT,5.949997,21.75,41.5,
GREENLAM,32.450012,4.1500015,3.300003,
GREENPANEL,1.3500023,3.199997,9.75,
GREENPLY,4.199997,55.44995,0.049999952,
GREENPOWER,0.100000024,3.25,14.0,
GRINDWELL,22.850037,5.649994,9.950012,
GROBTEA,20.0,0.100000024,89.0,
GRPLTD,68.95001,14.900024,5.75,
GRSE,7.449997,38.75,1.2000008,
GSCLCEMENT,0.79999924,118.95001,4.0,
GSFC,2.75,6.100006,195.05078,
GSKCONS,91.84961,1.2000008,11.400009,
GSPL,4.799988,3.0,3.9000015,
GSS,2.8499985,103.549805,0.100000024,
GTL,0.100000024,14.75,0.049999982,
GTLINFRA,0.099999994,1.699997,0.0,
GTNIND,0.8499999,0.100000024,2.3499985,
GTNTEX,0.0,0.049999982,3.8499985,
GTPL,1.5,0.6999998,19.350006,
GUFICBIO,3.75,1.1500015,3.6500015,
GUJALKALI,14.0,2.4999962,8.699982,
GUJAPOLLO,3.9000015,11.75,0.5500002,
GUJGASLTD,10.699982,5.199997,7.049988,
GUJRAFFIA,0.0,10.850006,4.0,
GULFOILLUB,10.049988,0.0,3.0499992,
GULFPETRO,4.25,7.5,0.25,
GULPOLY,4.8999977,3.7999992,26.950012,
GVKPIL,0.25,3.9000015,39.649963,
HAL,34.200012,0.2999997,3.4500008,
HARITASEAT,17.900024,53.650024,0.6499996,
HARRMALAYA,1.9500046,22.799988,12.049988,
HATHWAY,0.5,3.7000046,13.599976,
HATSUN,19.200012,0.6000004,0.050000012,
HAVELLS,9.599976,28.950012,0.5999985,
HAVISHA,0.050000012,13.25,0.3000002,
HBLPOWER,0.44999886,0.0,3.75,
HCC,0.4499998,0.80000114,0.1500001,
HCG,8.349998,0.0,19.300049,
HCL-INSYS,0.25,0.54999924,30.25,
HCLTECH,9.299988,5.0,34.0,
HDFC,47.5,0.4499998,17.550049,
HDFCAMC,42.0,10.199951,7.1500244,
HDFCBANK,19.75,41.80005,20.850098,
HDFCLIFE,8.75,46.149902,14.560059,
HDFCMFGETF,24.0,21.75,109.0,
HDFCNIFETF,10.160034,11.399963,0.1500001,
HDFCSENETF,12.25,39.94995,31.700073,
HDIL,0.19999981,7.540039,5.050003,
HEG,31.849976,108.0,3.5999985,
HEIDELBERG,3.75,0.1500001,20.350006,
HEOF1100RG,0.0,27.350098,29.849854,
HERCULES,4.4000015,6.899994,26.399902,
HERITGFOOD,14.149994,0.06000042,0.8500004,
HEROMOTOCO,40.0,4.300003,9.0,
HESTERBIO,21.949951,29.0,0.25,
HEXATRADEX,1.1999998,58.0,13.0,
HEXAWARE,11.850006,44.900024,17.950012,
HFCL,0.30000114,1.25,0.15999985,
HGINFRA,6.850006,12.200012,5.6500015,
HGS,19.25,0.20000076,88.30005,
HHOF1140RG,0.15999985,16.40001,0.5,
HIKAL,4.5,13.900024,3.949997,
HIL,36.0,0.34999943,6.899994,
HILTON,1.1000004,5.2000046,12.0,
HIMATSEIDE,2.3499908,39.0,1.6000023,
HINDALCO,3.2999878,1.1500006,0.099999905,
HINDCOMPOS,14.0,4.600006,0.15000153,
HINDCOPPER,1.199997,5.050003,2.5,
HINDMOTORS,0.14999962,8.0,10.799988,
HINDNATGLS,1.4500008,1.5,0.0,
HINDOILEXP,1.699997,0.14999962,48.19995,
HINDPETRO,6.899994,0.049999237,3.050003,
HINDSYNTEX,0.0,3.0499954,10.000015,
HINDUNILVR,23.75,8.75,3.9000015,
HINDZINC,4.75,0.0,8.0,
HIRECT,17.100006,28.550049,3.4000015,
HISARMETAL,5.8499985,6.25,6.899994,
HITECH,12.0,14.949997,0.25,
HITECHCORP,10.75,7.25,0.75,
HITECHGEAR,5.300003,3.0,2.300003,
HLVLTD,0.1500001,1.4000015,47.450012,
HMT,0.35000038,14.849991,29.700012,
HMVL,6.4500046,0.099999905,505.75,
HNDFDS,22.5,1.0,37.849976,
HNGSNGBEES,18.769989,3.25,2.8999977,
HONAUT,360.05078,37.900024,0.19999695,
HONDAPOWER,57.599976,15.5,2.3500023,
HOVS,1.75,319.3496,3.25,
HPIL,0.6500015,45.05005,1.5499992,
HPL,1.4500008,1.6500015,0.6000004,
HSCL,1.5999985,1.0,0.35000038,
HSIL,2.2000008,1.7999992,1.3999977,
HTMEDIA,0.19999886,2.300003,9.349976,
HUBTOWN,0.5999994,2.1000023,0.0,
HUDCO,1.0499992,0.49999905,2.9899902,
HUDCO,0.25,0.40000057,39.0,
HUDCO,1.0100098,1.5499992,17.880005,
HUDCO,19.0,0.060058594,3.1500015,
HUDCO,7.5,0.0,3.3499985,
HUDCO,0.0,0.0,0.0,
HUDCO,0.099975586,22.97998,0.0,
HUDCO,7.98999,12.849976,30.900024,
IBMFNIFTY,4.75,23.699951,9.5,
IBREALEST,10.050003,17.699951,54.799988,
IBUCCREDIT,0.0,6.0,0.0,
IBUCCREDIT,0.0,4.449997,15.0,
IBUCCREDIT,0.0,0.2999878,7.25,
IBULHSGFIN,14.699982,0.0,2.449997,
IBULHSGFIN,7.0,139.20001,7.850006,
IBULHSGFIN,0.0,30.0,0.0,
IBULHSGFIN,0.0,13.75,5.0,
IBULISL,8.25,0.0,27.900024,
IBVENTURES,3.0999985,0.0,0.0,
IBVENTURES,3.75,35.0,0.0,
ICFL,1.9000244,4.8499985,0.0,
ICFL,22.0,3.1500015,0.9700012,
ICFL,0.0,7.699997,0.7599983,
ICFL,73.0,0.0,10.349976,
ICFL,0.0,23.400024,3.5,
ICFL,3.0,11.0,2.300003,
ICFL,25.0,0.0,24.0,
ICFL,1.0499878,0.0,1.1899986,
ICICI500,3.9600067,1.1399994,0.049987793,
ICICIB22,0.49000168,0.7200012,4.699997,
ICICIBANK,9.5,9.799988,2.5699997,
ICICIBANKN,6.049988,2.5499878,1.1200027,
ICICIBANKP,1.5700073,2.0,1.2400055,
ICICIGI,26.449951,32.700073,1.75,
ICICIGOLD,1.0499992,3.25,2.2000008,
ICICILIQ,0.049987793,0.049987793,0.42000008,
ICICILOVOL,0.8500061,6.739998,17.99997,
ICICIM150,7.8499985,5.260002,11.0,
ICICIMCAP,1.300003,1.1000061,1.5499992,
ICICINF100,1.1699982,0.94999695,44.899902,
ICICINIFTY,6.3399963,5.489998,0.80000305,
ICICINV20,0.91999817,1.8400002,18.0,
ICICINXT50,1.1300011,1.5,0.3499999,
ICICIPRULI,13.199951,14.950012,1.300003,
ICICISENSX,5.1099854,2.7099915,1.2000008,
ICIL,2.0499992,2.4500008,47.049805,
ICRA,95.0,87.3999,149.0,
IDBI,1.199997,0.69999695,0.009765625,
IDBIGOLD,42.399902,37.80005,0.0,
IDEA,0.5499997,0.5999999,10.0,
IDFC,0.29999924,3.5499992,0.0,
IDFCFIRSTB,1.25,2.7999992,10.0,
IDFCFIRSTB,4.1000977,22.990234,9.949997,
IDFCFIRSTB,15.0,117.88965,14.850006,
IDFCFIRSTB,0.0,0.0,16.549988,
IDFCFIRSTB,44.0,159.0,33.25,
IDFCFIRSTB,25.990234,42.990234,0.14999962,
IDFNIFTYET,6.9000015,39.0,7.0,
IEX,5.850006,0.0,11.049988,
IFBAGRO,27.950012,38.600098,0.0,
IFBIND,46.0,5.0,10.699997,
IFCI,0.099999905,74.990234,16.100006,
IFCI,2.0,0.0,15.7499695,
IFCI,1.0900269,8.150009,7.5,
IFCI,0.0,17.149994,0.4000244,
IFGLEXPOR,6.5,26.950012,8.300003,
IGARASHI,16.850006,0.14999962,2.0,
IGL,9.0,4.48999,80.0,
IGPL,9.299988,3.0,1.2000122,
IIFCL,10.0,3.6500092,7.0,
IIFL,6.600006,7.649994,21.0,
IIFLFIN,0.0,17.699982,0.0,
IIFLFIN,0.0,14.799988,2.6499977,
IIFLFIN,5.0999756,14.0,37.400024,
IIFLFIN,0.0,6.0,1.0,
IIFLFIN,0.0,40.0,0.5999985,
IIFLFIN,11.900024,2.5,0.100000024,
IIFLFIN,0.0,0.0,0.100000024,
IIFLFIN,0.0,33.0,8.849991,
IIFLFIN,0.099975586,0.0,7.950012,
IIFLSEC,3.9500008,0.0,0.050000012,
IIFLWAM,27.050049,0.0,0.79999924,
IIHFL,2.5499878,3.6500015,4.75,
IIHFL,2.0,69.44995,2.6500015,
IITL,1.4500008,0.0,15.549988,
IL&FSENGG,0.100000024,0.0,73.0,
IL&FSTRANS,0.100000024,0.100000024,4.550003,
IMFA,14.450012,0.099999905,7.949997,
IMPAL,19.0,9.800003,26.899994,
IMPEXFERRO,0.050000012,13.150024,55.94995,
INDBANK,0.9499998,0.050000012,0.33999634,
INDHOTEL,2.850006,0.5999999,2.0,
INDIACEM,2.2000046,2.800003,16.850006,
INDIAGLYCO,14.600006,3.5499954,12.25,
INDIAMART,38.44995,12.450012,0.55000114,
INDIANB,1.8999939,66.8999,0.100000024,
INDIANCARD,0.5,1.800003,16.950012,
INDIANHUME,6.600006,11.300003,1.949997,
INDIGO,43.799927,16.15001,1.1499996,
INDIGRID,0.6800003,51.94995,0.19999981,
INDLMETER,0.0,0.40000153,1.050003,
INDNIPPON,12.149994,1.8999996,0.35000038,
INDOCO,15.0,26.0,0.29999995,
INDORAMA,0.39999962,7.25,2.5999985,
INDOSOLAR,0.050000012,0.19999886,29.5,
INDOSTAR,18.25,0.050000012,17.049988,
INDOTECH,2.949997,13.0,2.2000008,
INDOTHAI,0.8999996,1.75,6.6500015,
INDOWIND,0.20000005,1.25,4.9599915,
INDRAMEDCO,5.549999,0.19999981,10.100006,
INDSWFTLAB,0.55000114,2.050003,13.350037,
INDSWFTLTD,0.25,0.6499996,15.400024,
INDTERRAIN,9.400002,0.29999995,5.1500015,
INDUSINDBK,25.699951,3.3499985,0.0,
INEOSSTYRO,39.0,32.44995,10.800018,
INFIBEAM,5.5,25.75,3.3499985,
INFOBEAN,7.5999985,2.0,23.849976,
INFRABEES,0.0,5.2999954,3.0999985,
INFRATEL,8.549988,6.3099976,0.0,
INFY,8.549988,8.300003,3.350006,
INGERRAND,14.049988,11.700012,1.2999992,
INNOVANA,1.199997,16.349976,0.5,
INOXLEISUR,4.600006,4.4000015,0.25,
INOXWIND,2.0499992,0.0,5.9500046,
INSECTICID,33.849976,11.0,9.899994,
INSPIRISYS,2.6500015,1.7000008,48.150024,
INTEGRA,0.099999964,24.75,7.9000015,
INTELLECT,2.949997,1.9500008,0.54999924,
INTENTECH,2.8500004,0.100000024,19.549988,
INVENTURE,0.79999924,4.5,88.94995,
IOB,0.40000057,3.2999992,0.0,
IOC,2.149994,0.6999998,7.0,
IOLCP,7.399994,0.40000057,3.0,
IPCALAB,29.900024,3.75,0.0,
IRB,2.75,7.399994,7.0,
IRBINVIT,0.73999786,53.099976,0.0,
IRCON,36.0,7.0499954,1.8000488,
IRCTC,66.400024,0.7400017,4.0,
IREDA,5.0,26.25,18.299988,
IREDA,5.0,47.94995,8.700005,
IRFC,1.0,0.0,0.19999981,
IRFC,3.9499512,0.0,4.349991,
IRFC,0.0,2.0,8.950012,
IRFC,0.0,0.0,3.5,
IRFC,21.400024,59.98999,3.3499985,
IRFC,1.0,9.0,0.1500001,
IRFC,0.0,11.98999,2.75,
IRFC,1.4100342,7.0,0.0,
IRFC,0.0,0.11999512,25.900024,
ISEC,15.350006,0.0,1.3499985,
ISFT,1.5499954,24.700012,0.69999886,
ISMTLTD,0.25,7.4000015,2.6500015,
ITC,6.5,0.20000029,1.75,
ITDC,6.899994,4.0,2.3999996,
ITDCEM,2.7999992,9.600006,4.550003,
ITI,6.050003,3.5499992,0.0,
IVC,0.10000014,2.0999985,0.0,
IVP,1.7000008,0.1500001,2.2000008,
IVZINNIFTY,0.0,3.6000023,5.849991,
IZMO,0.70000076,34.0,6.0,
J&KBANK,0.6000004,28.0,8.199997,
JAGRAN,1.6000061,1.4500008,0.1500001,
JAGSNPHARM,1.7000008,0.5,2.6000023,
JAIBALAJI,5.0,1.800003,13.950012,
JAICORPLTD,3.75,1.0,0.6500006,
JAKHARIA,0.0,1.1000004,8.599991,
JALAN,0.0,3.550003,55.44995,
JAMNAAUTO,0.95000076,0.0,0.0,
JASH,8.800003,0.0,1.1999998,
JAYAGROGN,4.699997,0.0,0.050000012,
JAYBARMARU,7.949997,0.0,1.2999992,
JAYNECOIND,0.35000014,1.5999985,13.75,
JAYSREETEA,2.1000023,5.899994,4.6500015,
JBCHEPHARM,25.5,5.4000015,5.699997,
JBFIND,0.0,9.0,0.05000007,
JBMA,9.550003,0.25000024,8.449997,
JCHAC,69.0,2.0,1.9500008,
JETAIRWAYS,3.1499977,7.850006,0.5999999,
JHS,0.6499996,0.0,0.5500002,
JIKIND,0.099999994,7.0,0.9000006,
JINDALPHOT,1.3500004,75.1001,1.0,
JINDALPOLY,10.649994,0.0,28.0,
JINDALSAW,2.5999985,0.5500002,5.599991,
JINDALSTEL,10.399994,0.099999994,13.899994,
JINDCOT,0.099999905,0.8499994,3.449997,
JINDRILL,7.4000015,13.350006,3.75,
JINDWORLD,4.3499985,3.0499954,2.9500008,
JISLDVREQS,0.4000001,9.549988,2.6500015,
JISLJALEQS,0.4499998,0.0,5.2000046,
JITFINFRA,0.8000002,8.199997,0.049999952,
JIYAECO,1.9499989,2.300003,7.5999985,
JKCEMENT,34.05005,0.4500003,0.100000024,
JKIL,2.949997,0.4000001,0.049999952,
JKLAKSHMI,21.75,0.8999996,0.0,
JKPAPER,2.5,2.25,0.049999952,
JKTYRE,2.1500015,30.0,3.1500015,
JMA,1.0,4.149994,4.399994,
JMCPROJECT,1.5499954,16.5,2.0000038,
JMFINANCIL,4.0499954,3.699997,28.0,
JMTAUTOLTD,0.05000007,8.5,9.899994,
JOCIL,4.25,2.3999996,0.049999952,
JPASSOCIAT,0.049999952,2.5499954,4.800003,
JPINFRATEC,0.049999952,4.3499985,39.700012,
JPOLYINVST,0.6000004,0.0,83.80005,
JPPOWER,0.049999952,7.8499985,0.0,
JSL,1.25,0.099999905,2.5999985,
JSLHISAR,1.8999939,0.100000024,4.75,
JSWENERGY,2.2000046,0.10000014,28.600037,
JSWHL,153.25,2.5,0.050000012,
JSWSTEEL,6.3000183,3.3499985,4.199997,
JSWSTEEL,0.049999952,2.1500015,3.9500046,
JTEKTINDIA,2.3499985,98.80005,12.099976,
JUBILANT,20.150024,6.850006,15.550003,
JUBLFOOD,57.80005,0.049999952,12.0,
JUBLINDS,6.350006,5.9000015,8.399994,
JUMPNET,1.5,18.549988,0.75,
JUNIORBEES,2.850006,69.94995,6.449997,
JUSTDIAL,16.200012,8.899994,0.3000002,
JVLAGRO,0.050000012,3.6500015,1.5,
JYOTHYLAB,6.550003,7.430023,23.100006,
KABRAEXTRU,4.25,22.900024,1.1000061,
KAJARIACER,14.350037,0.050000012,1.1999998,
KAKATCEM,17.25,5.0,2.2000008,
KALPATPOWR,7.100006,3.800003,0.050000012,
KALYANIFRG,4.799988,7.5,34.80002,
KAMATHOTEL,1.7000008,21.300003,2.0999985,
KAMDHENU,3.75,21.25,1.1000004,
KANANIIND,0.3000002,7.949997,37.0,
KANORICHEM,1.3500023,2.3499985,22.5,
KANSAINER,5.0,2.949997,1.1500015,
KARDA,1.949997,0.29999995,18.849976,
KARMAENG,1.0999994,1.0999985,1.8999996,
KARURVYSYA,3.0499992,13.400024,35.900024,
KAUSHALYA,0.050000012,21.0,1.0,
KAVVERITEL,0.0,1.699997,1.25,
KAYA,32.399994,0.05000019,0.10000229,
KCP,3.1500015,3.7000008,0.099999994,
KCPSUGIND,0.8000002,0.099999994,8.149994,
KDDL,23.099976,0.05000007,0.29999924,
KEC,9.800018,25.799988,2.9499989,
KECL,0.5999985,2.7000046,35.650024,
KEI,25.400024,0.75,3.5999985,
KELLTONTEC,2.1499996,9.800018,15.0,
KENNAMET,36.150024,11.5,4.050003,
KERNEX,0.95000076,1.8000011,16.899994,
KESORAMIND,1.0499992,12.799988,2.199997,
KEYFINSERV,0.0,2.0,9.699997,
KGL,0.099999994,33.05005,7.050003,
KHADIM,4.0,0.95000076,45.350037,
KHAITANLTD,1.0,1.7000008,3.75,
KHFM,0.0,0.0,25.0,
KICL,33.0,0.099999994,0.35000038,
KILITCH,2.0999985,4.950012,12.399994,
KINGFA,21.75,0.79999924,0.40000057,
KIOCL,7.5999985,0.14999962,3.75,
KIRIINDUS,7.0,47.0,9.399994,
KIRLFER,2.899994,8.200005,1.75,
KIRLOSBROS,5.600006,42.950012,45.849976,
KIRLOSENG,5.700012,4.9000015,6.299988,
KIRLOSIND,28.0,18.399994,3.5499878,
KITEX,4.800003,2.800003,1.550003,
KKCL,139.0,6.349991,2.0,
KMSUGAR,0.4499998,5.199997,5.4900055,
KNRCON,10.899994,83.45001,0.9499998,
KOHINOOR,0.4499998,7.0,1.1999989,
KOKUYOCMLN,4.75,22.799988,3.050003,
KOLTEPATIL,8.699997,0.29999924,3.9000015,
KOPRAN,1.5,12.549988,13.850037,
KOTAKBANK,23.149902,0.6000004,9.75,
KOTAKBKETF,4.75,4.4000015,2.5,
KOTAKGOLD,4.5,11.299988,0.20000005,
KOTAKNIFTY,1.2700043,1.4000015,2.7000008,
KOTAKNV20,1.0599976,22.800049,32.400024,
KOTAKPSUBK,2.3600006,6.399994,8.0,
KOTARISUG,0.8500004,4.799988,0.050000004,
KOTHARIPET,1.2000008,1.050003,0.100000024,
KOTHARIPRO,5.5999985,1.1599998,8.949997,
KPITTECH,6.25,2.199997,1.949997,
KPRMILL,23.0,1.3000002,20.099976,
KRBL,23.25,1.1999989,0.14999998,
KREBSBIO,5.3499985,3.899994,3.7999954,
KRIDHANINF,0.20000005,5.1500015,0.0,
KRISHANA,0.0,21.25,1.0,
KRITIKA,0.0,17.950012,0.0,
KSB,25.849976,5.25,0.0,
KSCL,15.75,0.14999986,9.390015,
KSERASERA,0.050000004,28.049988,1.0,
KSHITIJPOL,0.0,12.649994,0.0,
KSK,0.050000012,0.050000004,20.0,
KSL,21.199997,0.100000024,6.9399414,
KTKBANK,1.1499939,12.699997,33.0,
KUANTUM,13.0,1.2000046,0.29999924,
KWALITY,0.20000005,24.899994,58.549927,
L&TFH,1.5,0.1500001,0.9000015,
L&TFINANCE,4.9000244,4.0999985,7.050003,
L&TFINANCE,0.0,62.95996,3.3000011,
L&TFINANCE,5.01001,0.0,44.950012,
L&TFINANCE,0.0,0.0,113.0,
L&TFINANCE,3.0,8.700012,1.7999992,
L&TFINANCE,1.0,11.0,3.75,
L&TFINANCE,0.0,41.44995,11.799988,
L&TFINANCE,2.4500122,5.0,0.25,
L&TINFRA,41.900024,0.0,4.299999,
L&TINFRA,11.0,0.0,4.800003,
L&TINFRA,0.030029297,9.949951,19.5,
L&TINFRA,1.0999756,0.75,0.8999996,
L&TINFRA,19.5,81.400024,5.939995,
LAKPRE,0.0,2.2999992,28.799988,
LAKSHVILAS,0.4499998,9.649994,3.6899948,
LALPATHLAB,28.800049,0.0,6.899994,
LAMBODHARA,1.7000008,30.450012,6.949997,
LAOPALA,7.850006,67.5,22.900024,
LASA,0.0,0.9000015,0.42999268,
LAURUSLABS,14.700012,5.800003,0.020019531,
LAXMIMACH,95.44995,8.450012,4.1000023,
LEMONTREE,1.8499985,0.049999952,2.1499996,
LFIC,4.799999,3.4000015,2.3499985,
LGBBROSLTD,9.950012,3.5,0.100000024,
LGBFORGE,0.20000005,26.75,0.050000012,
LIBAS,2.0999985,2.8999996,16.550049,
LIBERTSHOE,3.899994,2.4400024,40.849976,
LICHSGFIN,9.0,25.799988,46.849976,
LICNETFGSC,0.87000084,3.600006,92.900024,
LICNETFN50,3.0,10.350006,7.7000046,
LICNETFSEN,19.899994,15.0,18.700012,
LICNFNHGP,1.9000015,27.200012,54.849976,
LINCOLN,5.5,0.76000977,1.1499996,
LINCPEN,13.899994,0.020019531,0.5,
LINDEINDIA,55.349976,1.2000008,11.700012,
LIQUIDBEES,0.76000977,2.3500004,12.850006,
LIQUIDETF,0.020019531,1.550003,0.0,
LOKESHMACH,1.2000008,0.100000024,0.37999916,
LOTUSEYE,2.9000015,0.100000024,0.049999714,
LOVABLE,3.2999954,23.800049,0.5499997,
LPDC,0.100000024,20.0,1.8800049,
LSIL,0.100000024,60.0,4.3499985,
LT,22.849976,34.5,0.0,
LTI,22.699951,3.4500046,3.9500008,
LTTS,43.69995,20.350037,0.19999981,
LUMAXIND,75.0,34.849976,0.8500004,
LUMAXTECH,3.0499954,1.1999989,9.949997,
LUPIN,9.200012,0.5,4.5,
LUXIND,64.0,23.700012,0.0,
LYKALABS,0.69999886,11.450012,0.4499998,
LYPSAGEMS,0.5999999,3.9899902,4.0,
M&M,8.549988,5.0,6.550003,
M&MFIN,21.100006,0.6700001,8.950012,
M&MFIN,4.0,0.25,0.0,
M&MFIN,0.0,0.099999905,5.25,
M100,0.27000046,1.0699997,20.0,
M17RD,0.0,1.949997,14.0,
M50,1.2699966,3.9500008,68.950195,
MAANALU,4.4000015,3.2999992,13.0,
MACPOWER,0.0,0.1500001,20.799988,
MADHAV,3.6000004,2.1499996,12.399994,
MADHUCON,0.3000002,3.4000015,2.3500023,
MADRASFERT,0.6500015,2.6499977,3.75,
MAGADSUGAR,8.800003,0.29999995,0.54999995,
MAGMA,2.5,0.39999962,0.25000024,
MAGNUM,0.14999986,4.449997,1.1000023,
MAHABANK,0.25,4.449997,1.0,
MAHAPEXLTD,8.599998,28.799988,0.75,
MAHASTEEL,7.800003,0.9500046,5.0,
MAHESHWARI,31.799988,7.399994,0.0,
MAHICKRA,0.0,12.850006,2.5,
MAHINDCIE,6.25,9.899994,0.8499985,
MAHLIFE,8.75,134.8501,14.700012,
MAHLOG,10.399994,8.75,0.4499998,
MAHSCOOTER,170.0,27.700012,6.799999,
MAHSEAMLES,6.450012,21.399994,1.8499985,
MAITHANALL,23.450012,1.2999992,1.0500002,
MAJESCO,10.200012,0.7000046,96.92999,
MALUPAPER,2.3499985,0.5500002,1.3499994,
MAN50ETF,0.6500015,0.19999981,4.800003,
MANAKALUCO,0.3000002,1.0,28.149994,
MANAKCOAT,0.20000029,0.6999998,2.75,
MANAKSIA,1.3499985,1.1999989,0.6499996,
MANAKSTEEL,0.6500006,7.699997,0.0,
MANALIPETC,0.6499996,2.3499985,168.4502,
MANAPPURAM,9.100006,1.0,40.0,
MANGALAM,1.9000015,10.049988,8.900024,
MANGCHEFER,1.0499992,0.39999962,8.049988,
MANGLMCEM,9.549988,2.0,1.4500008,
MANGTIMBER,0.5,1.1499996,2.800003,
MANINDS,0.95000076,1.3000002,2.199997,
MANINFRA,0.8999996,1.0500011,8.949997,
MANUGRAPH,0.75,11.449997,8.949982,
MARALOVER,0.35000038,14.600006,3.550003,
MARATHON,6.949997,1.5,0.3000002,
MARICO,11.300018,1.0999985,0.20000005,
MARINE,0.7999954,68.0,0.8999996,
MARKSANS,1.3999996,70.54999,24.450012,
MARSHALL,0.0,0.0,2.5,
MARUTI,141.25,13.25,0.3000002,
MASFIN,20.450012,14.0,62.19995,
MASTEK,31.25,1.9000015,0.0,
MATRIMONY,11.850006,3.0,0.4500003,
MAWANASUG,2.5999985,2.0499992,3.7999992,
MAXINDIA,2.8499985,18.399994,0.0,
MAXVIL,1.7999992,10.5,1.6000023,
MAYURUNIQ,5.300003,0.0,1.9000015,
MAZDA,15.0,0.20000029,0.0,
MBECL,0.25,0.19999981,0.0,
MBLINFRA,0.25,0.6499996,0.0,
MCDHOLDING,2.4500008,17.0,40.44995,
MCDOWELL-N,28.0,4.1500015,13.850006,
MCL,5.4000015,0.25,0.0,
MCLEODRUSS,0.10000038,153.54993,72.349976,
MCX,28.150024,0.39999962,10.450012,
MEGASOFT,0.2999997,5.299999,0.100000024,
MEGH,8.25,0.0,6.449997,
MELSTAR,0.0,1.0,8.700005,
MENONBE,1.8500023,1.6500015,11.0,
MEP,1.0,0.0,1.4500008,
MERCATOR,0.050000012,0.3000002,24.5,
METALFORGE,0.0,0.10000001,1.0,
METKORE,0.050000012,50.150024,1.7000008,
METROPOLIS,47.75,16.0,0.0,
MFSL,9.5,0.0,25.450012,
MGEL,0.0,38.049927,7.0,
MGL,25.0,6.25,1.0,
MHHL,0.0,0.100000024,0.0,
MHRIL,3.949997,6.899994,0.0,
MIC,0.050000012,3.5,8.0,
MIDHANI,5.899994,15.299988,1.9500008,
MILTON,0.0,1.8500004,9.200012,
MINDACORP,3.9000015,16.400024,10.649994,
MINDAIND,17.100006,0.6500006,1.8500004,
MINDPOOL,0.0,1.6500015,0.35000038,
MINDTECK,1.0999985,1.0,9.150009,
MINDTREE,9.799988,29.350006,28.899963,
MIRCELECTR,0.6000004,5.0,3.4000015,
MIRZAINT,1.9500008,0.79999924,21.950012,
MMFL,11.149994,0.14999962,47.149994,
MMP,10.0,0.29999995,1281.7969,
MMTC,0.6000004,0.5,2.5499992,
MODIRUBBER,1.0499992,6.25,0.4000001,
MOHITIND,0.049999952,0.0,7.300003,
MOHOTAIND,0.75,1.9000015,1.25,
MOIL,8.849991,7.5,0.25,
MOLDTECH,1.6000023,7.950012,0.4499998,
MOLDTKPAC,3.9500122,1.3000002,2.1000004,
MONTECARLO,6.549988,0.4499998,1.3500023,
MORARJEE,1.0500011,5.0,1.550003,
MOREPENLAB,0.6499996,24.200012,1.7000046,
MOTHERSUMI,2.949997,2.0999985,1.1999989,
MOTILALOFS,29.25,28.199951,33.700012,
MOTOGENFIN,1.5,71.350006,23.600037,
MPHASIS,19.400024,1099.0,6.9000244,
MPSLTD,13.799988,2.5499992,11.839966,
MRF,600.0,0.25,1.8999996,
MRPL,0.75,10.000008,0.4000001,
MSPL,0.5,3.0999994,0.5999999,
MSTCLTD,10.799995,0.3000002,0.9499998,
MTEDUCARE,0.9499998,0.8500004,0.0,
MTNL,0.4499998,1.3500004,1.2999992,
MUKANDENGG,0.54999924,0.05000019,2.6500015,
MUKANDLTD,0.8999996,1.0,0.8999977,
MUKANDLTD,0.3499999,1.7999992,13.0,
MUKTAARTS,0.79999924,4.399994,0.0,
MUNJALAU,1.75,1.1499996,26.900024,
MUNJALSHOW,7.350006,21.900024,12.600006,
MURUDCERA,1.1499996,26.100037,2.0,
MUTHOOTCAP,12.400024,11.909973,0.0,
MUTHOOTFIN,11.75,5.9400635,109.94995,
N100,7.8900146,0.8500004,87.900024,
NABARD,1.8100586,0.2999997,0.79999924,
NACLIND,1.1000004,0.049999714,5.300003,
NAGAFERT,0.3000002,0.74999905,1.449997,
NAGREEKCAP,0.0,6.7999954,60.0,
NAGREEKEXP,0.99999905,2.6000004,6.1500015,
NAHARCAP,3.6500015,1.0999985,2.300003,
NAHARINDUS,1.6499996,0.5,5.0,
NAHARPOLY,1.5,10.899994,1.0,
NAHARSPING,0.8499985,9.0,1.7999992,
NAM-INDIA,8.799988,14.399994,2.1000004,
NARMADA,0.0,1.4500008,0.2999997,
NATCOPHARM,17.5,0.049999952,1.0,
NATHBIOGEN,22.5,95.0,3.0499992,
NATIONALUM,1.2000008,85.0,6.600006,
NATNLSTEEL,0.0,0.80000114,26.299988,
NAUKRI,69.8501,1.5,47.0,
NAVINFLUOR,48.849976,2.75,326.9502,
NAVKARCORP,1.6999989,0.0,1.2300034,
NAVNETEDUL,1.5999985,6.3499985,0.52000046,
NBCC,0.8999977,2.9000015,0.26000023,
NBIFIN,146.90002,4.4000015,0.059999466,
NBVENTURES,15.400002,10.950012,0.9000015,
